City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,atuona,-9.8,-139.0333,26.13,76,22,7.43,P,1675829422
1,namatanai,-3.6667,152.4333,29.76,64,90,4.76,P,1675829423
2,hailar,49.2,119.7,-18.33,94,96,1.38,C,1675829423
3,nanortalik,60.1432,-45.2371,-15.45,75,11,7.06,G,1675829424
4,porto novo,6.4965,2.6036,25.24,86,96,1.89,B,1675829425
5,hobart,-42.8794,147.3294,19.59,65,75,5.66,A,1675829117
6,aguimes,27.9054,-15.4461,14.35,63,75,3.6,E,1675829427
7,ushuaia,-54.8,-68.3,8.79,91,99,3.44,A,1675829428
8,ledyard,41.4398,-72.0142,4.51,90,100,4.63,U,1675829431
9,cidreira,-30.1811,-50.2056,23.95,82,7,6.2,B,1675829432
10,lagoa,39.05,-27.9833,12.78,63,86,6.63,P,1675829432
11,alofi,-19.0595,-169.9187,27.39,72,100,5.14,N,1675829330
12,bluff,-46.6,168.3333,12.21,67,48,12.35,N,1675829433
13,qaanaaq,77.484,-69.3632,-31.97,67,7,2.68,G,1675829434
14,east london,-33.0153,27.9116,20.52,94,100,4.63,Z,1675829434
15,ugoofaaru,5.6667,73.0,27.04,67,22,2.73,M,1675829338
16,aklavik,68.2191,-135.0107,-28.96,96,100,3.53,C,1675828956
17,cape town,-33.9258,18.4232,21.06,76,20,7.6,Z,1675828951
18,ballina,-28.8667,153.5667,28.34,63,91,4.45,A,1675829267
19,busselton,-33.65,115.3333,27.3,43,0,1.74,A,1675829435
20,ivanava,52.1451,25.5365,-6.04,96,13,2.06,B,1675829436
21,sulangan,11.1373,123.7228,26.63,75,100,5.41,P,1675829437
22,souillac,-20.5167,57.5167,27.21,78,40,5.14,M,1675829437
23,havoysund,70.9963,24.6622,1.13,61,44,11.31,N,1675829437
24,rikitea,-23.1203,-134.9692,26.55,70,52,4.0,P,1675829438
25,la peca,-5.6111,-78.435,19.24,87,28,1.59,P,1675829438
26,bellingham,48.7595,-122.4882,7.24,79,100,2.68,U,1675829383
27,mataura,-46.1927,168.8643,14.21,52,57,5.35,N,1675829202
28,ponta do sol,32.6667,-17.1,15.35,64,34,3.58,P,1675829439
29,cayenne,4.9333,-52.3333,25.02,94,100,1.54,G,1675829439
30,dikson,73.5069,80.5464,-20.44,90,100,10.01,R,1675829440
31,bubaque,11.2833,-15.8333,24.01,63,5,5.73,G,1675829440
32,port-gentil,-0.7193,8.7815,27.04,80,94,4.27,G,1675829440
33,puerto ayora,-0.7393,-90.3518,25.86,92,44,1.79,E,1675829217
34,yellowknife,62.456,-114.3525,-19.69,83,100,2.68,C,1675829441
35,svarstad,59.399,9.9698,-0.66,95,63,1.27,N,1675829441
36,shagamu,6.8432,3.6478,24.48,89,95,0.64,N,1675829442
37,kapaa,22.0752,-159.319,25.99,85,75,7.2,U,1675829442
38,khatanga,71.9667,102.5,-43.9,100,63,1.4,R,1675829442
39,talnakh,69.4865,88.3972,-23.53,98,97,3.09,R,1675829443
40,quatre cocos,-20.2078,57.7625,27.06,78,43,7.15,M,1675829443
41,hermanus,-34.4187,19.2345,18.78,84,0,5.59,Z,1675829444
42,tuktoyaktuk,69.4541,-133.0374,-28.88,95,100,1.95,C,1675829445
43,lebu,-37.6167,-73.65,14.8,88,0,7.74,C,1675828716
44,nikolskoye,59.7035,30.7861,-1.06,86,100,4.34,R,1675829205
45,castro,-24.7911,-50.0119,16.06,96,53,2.2,B,1675828957
46,buraydah,26.326,43.975,11.44,46,100,3.29,S,1675829446
47,punta arenas,-53.15,-70.9167,13.06,71,0,6.69,C,1675829446
48,winsum,53.33,6.5208,0.99,92,100,2.61,N,1675829446
49,albany,42.6001,-73.9662,2.93,79,81,0.45,U,1675829447
50,vanimo,-2.6741,141.3028,25.43,94,100,4.05,P,1675829447
51,saint-philippe,-21.3585,55.7679,27.77,83,84,5.72,R,1675829448
52,victoria,22.2855,114.1577,20.54,83,96,5.81,H,1675829293
53,cacheu,12.2706,-16.1658,20.35,35,5,2.71,G,1675829448
54,kurumkan,54.3,110.3,-16.43,86,99,1.01,R,1675829448
55,viedma,-40.8135,-62.9967,19.19,62,34,3.84,A,1675829449
56,tuatapere,-46.1333,167.6833,12.59,67,59,7.16,N,1675829241
57,avarua,-21.2078,-159.775,29.03,70,46,5.14,C,1675829450
58,zhuanghe,39.7008,122.9911,2.51,27,0,2.38,C,1675829450
59,vidim,56.4088,103.1106,-12.0,93,100,2.76,R,1675829450
60,akyab,20.15,92.9,23.89,39,1,1.69,M,1675829451
61,glyadyanskoye,54.9075,65.0883,-27.98,100,100,1.15,R,1675829451
62,clyde river,70.4692,-68.5914,-35.47,98,90,1.25,C,1675829226
63,quimper,48.0,-4.1,2.31,80,0,2.57,F,1675829452
64,jamestown,42.097,-79.2353,2.79,95,100,4.12,U,1675829333
65,bredasdorp,-34.5322,20.0403,18.06,82,6,2.96,Z,1675829452
66,westport,41.1415,-73.3579,4.88,88,100,2.06,U,1675829205
67,edea,3.8,10.1333,24.23,93,64,0.65,C,1675829453
68,kruisfontein,-34.0033,24.7314,18.27,82,99,1.64,Z,1675829453
69,guanare,9.0418,-69.7421,24.86,60,90,1.18,V,1675829454
70,thompson,55.7435,-97.8558,-17.93,100,96,1.14,C,1675829454
71,jumla,29.2747,82.1838,9.22,19,0,1.8,N,1675829454
72,crawfordsville,40.0411,-86.8745,3.24,80,56,1.54,U,1675829404
73,polson,47.6936,-114.1632,3.73,79,100,3.13,U,1675829455
74,los llanos de aridane,28.6585,-17.9182,12.86,55,20,2.57,E,1675829455
75,guisa,20.255,-76.5386,19.15,93,2,2.05,C,1675829455
76,norman wells,65.282,-126.8329,-19.95,97,94,0.67,C,1675829442
77,taicheng,38.731,113.228,0.3,44,100,2.75,C,1675829456
78,vestmannaeyjar,63.4427,-20.2734,-0.27,65,100,16.07,I,1675829456
79,eyl,7.9803,49.8164,25.16,70,100,5.87,S,1675829457
